# openproj CI durations after the template cache, measured not estimated
#
# Run:     https://github.com/jcanton/openproj/actions/runs/32633361097
# Job:     check, ubuntu-latest, 2026-08-23T10:17:44Z -> 2026-08-23T10:29:52Z (728s)
# Commit:  d979881 on branch ci-speed (PR #72) — the same tree as the run in
#          ci-durations.txt plus the template-compilation cache in render.py and
#          the one regex in test_render.py.
# Command: uv run pytest -q --durations=0 --durations-min=0.05
# Result:  1687 passed, 5 warnings in 711.04s (0:11:51), against 1392.75s before.
#
# The runner, from the probe step in the same job:
#   nproc            2
#   free -m          Mem: 7942 total, 6821 available; Swap: 3071
#   df -h /dev/shm   tmpfs 3.9G
#   google-chrome    151.0.7922.137
# So `ubuntu-latest` on this PRIVATE repository is the 2-core / 8 GB box, not the
# 4-core / 16 GB one public repositories get. `-n auto` here means `-n 2`.
#
# Per-step wall clock from the jobs API (seconds):
#   Set up job 1, checkout 1, setup-uv 3, setup-node 0, uv sync 1, probe 2,
#   ruff 0, pytest 713, post steps 1. Nine seconds is still not pytest.
#
# The table below is verbatim from the run log, timestamps stripped. 732 rows
# summing to 675.79s of the 711.04s pytest reported.
#
# Phase split of those 732 rows: setup 59.26s, call 600.60s, teardown 15.93s.
# Setup was 519.23s before; 460s of it was compiling templates.
2.59s call     tests/test_coedit.py::test_an_edit_in_the_second_surface_reaches_the_room_as_the_character_it_was[\U0001f600\U0001f601 ok\n-\U0001f601 ok\n]
2.54s call     tests/test_coedit.py::test_backspacing_a_whole_glyph_in_the_second_surface_leaves_both_copies_agreeing[one \U0001f469\u200d\U0001f469\u200d\U0001f467\n]
2.53s call     tests/test_injection.py::test_the_json_a_page_ships_reads_back_and_can_end_nothing
2.51s call     tests/test_table.py::test_the_draft_rows_marks_are_drawn
2.47s call     tests/test_hill.py::test_cancelling_an_edit_rolls_the_ball_back
2.44s call     tests/test_delete.py::test_a_refusal_is_shown_where_the_question_was_asked
2.43s call     tests/test_coedit.py::test_a_tab_that_is_only_watching_the_second_surface_is_credited_zero_characters
2.43s call     tests/test_seats.py::test_a_seat_band_lands_on_the_right_line_at_a_width_that_wraps
2.41s call     tests/test_coedit.py::test_undo_never_takes_back_something_somebody_else_typed
2.41s call     tests/test_coedit.py::test_an_edit_in_the_second_surface_reaches_the_room_as_the_character_it_was[a fine result\n-a fine \U0001f389 result\n]
2.40s call     tests/test_coedit.py::test_an_edit_in_the_second_surface_reaches_the_room_as_the_character_it_was[\U0001f916 written by an agent\n-\U0001f916 written by somebody\n]
2.39s call     tests/test_seats.py::test_the_second_surface_says_it_cannot_draw_where_anybody_is
2.38s call     tests/test_hill.py::test_the_hill_takes_a_keyboard
2.37s call     tests/test_coedit.py::test_backspacing_a_whole_glyph_in_the_second_surface_leaves_both_copies_agreeing[one \U0001f600\n]
2.37s call     tests/test_editor.py::test_the_second_surface_holds_one_line_ending_whatever_is_pasted_into_it
2.36s call     tests/test_editor.py::test_the_editor_switch_says_which_editor_it_is_and_that_it_reloads[-True]
2.36s call     tests/test_editor.py::test_cancelling_an_edit_nobody_made_says_nothing
2.36s call     tests/test_hill.py::test_pressing_a_stop_moves_the_ball_and_the_form
2.35s call     tests/test_hill.py::test_dragging_the_ball_lands_on_a_stop
2.34s call     tests/test_editor.py::test_the_view_a_person_chose_is_the_one_the_next_session_opens_in
2.34s call     tests/test_hill.py::test_the_ball_follows_the_field_when_something_else_sets_it
2.34s call     tests/test_coedit.py::test_opening_the_second_surface_changes_no_byte_of_the_document
2.33s call     tests/test_editor.py::test_cancel_puts_the_fields_back
2.33s call     tests/test_editor.py::test_the_history_buttons_reach_the_second_editors_own_stack
2.32s call     tests/test_table.py::test_the_create_button_is_reachable_from_anywhere_in_the_form
2.32s call     tests/test_delete.py::test_delete_leaves_while_an_edit_is_open
2.32s call     tests/test_hill.py::test_a_cancelled_drag_puts_the_ball_back
2.32s call     tests/test_themes.py::test_every_scheme_is_readable_where_the_page_paints_it
2.31s call     tests/test_coedit.py::test_a_substitution_over_a_whole_document_is_announced_before_it_is_sent
2.31s call     tests/test_cascade.py::test_every_control_on_every_page_is_drawn_the_same[detail]
2.30s call     tests/test_editor.py::test_the_second_editors_caret_is_reported_when_it_moves_and_not_when_it_types
2.29s call     tests/test_editor.py::test_every_button_on_the_toolbar_can_be_reached_at_a_window_that_is_not_wide[1000-note]
2.27s call     tests/test_facets.py::test_the_way_out_appears_only_when_there_is_one
2.27s call     tests/test_editor.py::test_the_width_handle_finds_the_pane_in_every_view
2.27s call     tests/test_facets.py::test_one_value_is_named_and_unticking_it_puts_the_field_back
2.25s call     tests/test_coedit.py::test_backspacing_a_whole_glyph_in_the_second_surface_leaves_both_copies_agreeing[one \U0001f1e9\U0001f1ea\n]
2.24s call     tests/test_editor.py::test_the_toolbar_and_the_keymap_do_not_cancel_each_other
2.24s call     tests/test_editor.py::test_the_new_marks_write_blocks_and_a_pasted_url_becomes_the_link_it_is[1000]
2.24s call     tests/test_render.py::test_a_sentence_about_the_view_never_costs_the_view_a_row[table]
2.23s call     tests/test_facets.py::test_the_server_answers_the_same_two_values
2.23s call     tests/test_editor.py::test_the_two_panes_scroll_to_the_same_line
2.23s call     tests/test_coedit.py::test_an_edit_in_the_second_surface_reaches_the_room_as_the_character_it_was[\U0001f1e9\U0001f1ea\n-\U0001f1e9\U0001f1eb\n]
2.22s call     tests/test_card.py::test_the_card_can_be_reached_and_stays_while_the_pointer_is_in_it
2.21s call     tests/test_delete.py::test_it_takes_two_presses_and_the_first_one_writes_nothing
2.19s call     tests/test_facets.py::test_opening_one_field_closes_the_last
2.19s call     tests/test_editor.py::test_every_button_on_the_toolbar_can_be_reached_at_a_window_that_is_not_wide[1000-detail]
